order_sk,order_id,user_id,final_total_amount,finish_time,finish_time_hour
5149,"2304621484452085763	",204968,208.31,2020-05-08,18
5151,"2304625712209854765	",200781,347.2,2020-05-08,12
5154,"2304637652160217101	",203596,85.63,2020-05-08,5
6669,"2306622301359047460	",203596,85.63,2020-05-11,6
5155,"2304639694249394328	",205053,509.24,2020-05-08,18
5314,"2305021391876915545	",205053,236.09,2020-05-09,24
5156,"2304641198771405057	",205063,20.81,2020-05-08,19
5157,"2304641868685639976	",202082,34.7,2020-05-08,10
5158,"2304643639973773736	",205066,18.5,2020-05-08,15
5159,"2304645348288627212	",205064,9.47,2020-05-08,20
5162,"2304651661278184402	",205064,9.47,2020-05-08,18
5160,"2304647482853819040	",205067,347.2,2020-05-08,13
5163,"2304653832417706072	",201847,162.01,2020-05-08,17
5164,"2304654880624607394	",200940,995.35,2020-05-08,12
5165,"2304656678940836122	",205069,18.5,2020-05-08,2
5166,"2304657411257925961	",206757,185.16,2020-05-08,21
5167,"2304658732438520242	",200380,104.14,2020-05-08,17
6497,"2306546100074447262	",200380,104.14,2020-05-11,6
9521,"2310162967313777170	",200380,0.23,2020-05-16,24
5169,"2304659432316862944	",203868,740.72,2020-05-08,9
5170,"2304659963559019009	",200501,231.46,2020-05-08,10
5172,"2304664635057373989	",200012,277.75,2020-05-08,6
5173,"2304664747162731308	",204842,138.87,2020-05-08,6
5174,"2304665533653451610	",204988,57.85,2020-05-08,14
5175,"2304667573167326168	",204520,0.93,2020-05-08,5
5176,"2304667580339586010	",203383,0.02,2020-05-08,22
5177,"2304669385844850780	",204864,2.29,2020-05-08,5
5179,"2304673297796694329	",201070,300.9,2020-05-08,11
5180,"2304677267059507763	",200945,46.27,2020-05-08,12
5181,"2304677912613225068	",203276,37.01,2020-05-08,6
5182,"2304678840342938275	",204987,578.68,2020-05-08,21
5183,"2304678840342938275	",204987,12.71,2020-05-08,3
5184,"2304680833048380179	",205076,1387.01,2020-05-08,24
5185,"2304680908856230682	",200454,34.7,2020-05-08,14
5186,"2304681363820774201	",205078,583.31,2020-05-08,9
5187,"2304683426394932155	",205077,8.08,2020-05-08,15
5188,"2304687195069350018	",205082,34.7,2020-05-08,19
5189,"2304687985083285693	",205083,110.86,2020-05-08,21
5190,"2304690991048687983	",205081,856.23,2020-05-08,21
5191,"2304692619772428751	",205070,16.18,2020-05-08,2
5192,"2304693118835884517	",203338,25.44,2020-05-08,19
5193,"2304694697219588664	",202990,499.98,2020-05-08,18
5195,"2304696305215079062	",205045,9.24,2020-05-08,5
5196,"2304697203215565514	",201135,39.33,2020-05-08,2
5199,"2304700414794138488	",205086,34.93,2020-05-08,14
5868,"2305767327385256919	",205086,34.24,2020-05-10,17
5200,"2304701662213702582	",204806,48.59,2020-05-08,18
5203,"2304707631555543252	",205079,347.2,2020-05-08,16
5204,"2304707937857175776	",205075,62.48,2020-05-08,14
5205,"2304708541123920126	",205085,856.46,2020-05-08,21
5206,"2304709290050453790	",206703,22.2,2020-05-08,21
5207,"2304709290050453790	",206703,34.7,2020-05-08,6
5208,"2304709290050453790	",206703,31.23,2020-05-08,9
5209,"2304716126472372851	",200879,50.9,2020-05-08,11
5210,"2304716781597491860	",200163,138.87,2020-05-08,4
5211,"2304716960023184037	",205065,121.5,2020-05-08,16
5212,"2304719735872291651	",205065,39.33,2020-05-08,22
